iter	Passed	Remaining
0	48	24066
1	50	12473
2	61	10257
3	80	9926
4	126	12497
5	168	13851
6	172	12168
7	174	10756
8	176	9654
9	178	8767
10	181	8050
11	183	7449
12	196	7376
13	205	7135
14	210	6804
15	214	6499
16	220	6273
17	226	6057
18	233	5906
19	237	5707
20	241	5517
21	246	5357
22	252	5233
23	256	5088
24	260	4941
25	264	4825
26	268	4703
27	271	4576
28	275	4472
29	280	4396
30	284	4297
31	287	4203
32	291	4124
33	296	4070
34	302	4017
35	307	3968
36	312	3916
37	318	3874
38	324	3840
39	328	3779
40	331	3713
41	337	3678
42	340	3622
43	345	3576
44	348	3518
45	354	3494
46	358	3451
47	361	3400
48	365	3364
49	371	3342
50	374	3298
51	378	3263
52	383	3234
53	387	3202
54	390	3163
55	395	3134
56	400	3112
57	403	3072
58	406	3038
59	414	3037
60	425	3062
61	432	3057
62	435	3021
63	440	2999
64	449	3006
65	452	2975
66	456	2950
67	464	2949
68	468	2926
69	473	2910
70	477	2884
71	485	2884
72	489	2865
73	492	2837
74	499	2831
75	505	2818
76	508	2795
77	517	2798
78	521	2779
79	524	2756
80	530	2744
81	534	2726
82	538	2703
83	544	2694
84	548	2677
85	552	2657
86	555	2635
87	562	2634
88	565	2612
89	569	2596
90	578	2601
91	582	2584
92	586	2566
93	597	2578
94	600	2560
95	607	2557
96	611	2541
97	615	2524
98	622	2520
99	627	2508
100	629	2486
101	631	2464
102	636	2452
103	639	2433
104	643	2422
105	649	2414
106	654	2404
107	659	2392
108	665	2387
109	671	2379
110	675	2368
111	682	2362
112	684	2343
113	686	2324
114	688	2305
115	691	2290
116	695	2277
117	699	2263
118	703	2253
119	707	2240
120	711	2230
121	715	2218
122	720	2209
123	727	2206
124	732	2198
125	737	2189
126	743	2183
127	748	2174
128	751	2162
129	755	2150
130	760	2141
131	764	2130
132	768	2119
133	773	2111
134	777	2103
135	786	2105
136	791	2096
137	797	2092
138	803	2086
139	807	2076
140	811	2065
141	814	2054
142	820	2049
143	824	2038
144	830	2033
145	834	2023
146	838	2013
147	842	2003
148	848	1999
149	852	1990
150	857	1981
151	864	1978
152	870	1974
153	876	1970
154	882	1963
155	887	1956
156	894	1953
157	901	1950
158	912	1956
159	918	1951
160	925	1949
161	931	1942
162	941	1947
163	946	1938
164	952	1934
165	958	1927
166	962	1919
167	967	1912
168	972	1904
169	976	1896
170	982	1889
171	985	1878
172	989	1869
173	992	1859
174	994	1846
175	999	1840
176	1001	1828
177	1004	1817
178	1006	1805
179	1012	1799
180	1016	1792
181	1022	1787
182	1028	1781
183	1035	1778
184	1043	1777
185	1049	1771
186	1055	1766
187	1061	1762
188	1073	1767
189	1079	1761
190	1083	1753
191	1085	1742
192	1093	1739
193	1097	1730
194	1102	1723
195	1115	1730
196	1125	1731
197	1130	1724
198	1136	1719
199	1144	1716
200	1145	1704
201	1149	1695
202	1150	1683
203	1152	1672
204	1154	1661
205	1156	1650
206	1158	1639
207	1159	1628
208	1162	1618
209	1164	1608
210	1166	1597
211	1169	1589
212	1207	1627
213	1284	1716
214	1325	1756
215	1327	1745
216	1329	1733
217	1331	1722
218	1333	1711
219	1335	1700
220	1337	1688
221	1339	1677
222	1342	1667
223	1345	1658
224	1347	1647
225	1350	1637
226	1355	1629
227	1360	1622
228	1362	1612
229	1367	1604
230	1369	1594
231	1375	1588
232	1379	1580
233	1383	1573
234	1386	1563
235	1392	1557
236	1394	1547
237	1395	1536
238	1397	1526
239	1399	1516
240	1401	1505
241	1404	1497
242	1409	1490
243	1412	1482
244	1414	1472
245	1416	1462
246	1419	1454
247	1422	1445
248	1424	1435
249	1425	1425
250	1427	1416
251	1429	1406
252	1430	1396
253	1433	1388
254	1435	1379
255	1437	1369
256	1439	1360
257	1441	1352
258	1443	1343
259	1445	1334
260	1448	1325
261	1449	1317
262	1453	1309
263	1456	1302
264	1460	1295
265	1465	1289
266	1467	1280
267	1472	1274
268	1476	1267
269	1480	1261
270	1484	1254
271	1486	1246
272	1492	1240
273	1498	1235
274	1502	1229
275	1508	1224
276	1514	1218
277	1519	1213
278	1525	1208
279	1527	1199
280	1532	1194
281	1537	1188
282	1541	1182
283	1546	1176
284	1550	1170
285	1556	1164
286	1560	1158
287	1563	1151
288	1569	1145
289	1571	1138
290	1575	1131
291	1579	1124
292	1580	1116
293	1583	1109
294	1586	1102
295	1588	1094
296	1590	1086
297	1591	1079
298	1593	1071
299	1601	1067
300	1604	1060
301	1606	1053
302	1608	1045
303	1613	1040
304	1615	1032
305	1619	1026
306	1623	1020
307	1628	1015
308	1630	1007
309	1632	1000
310	1636	994
311	1638	987
312	1644	982
313	1648	976
314	1653	971
315	1660	966
316	1665	961
317	1670	955
318	1676	951
319	1680	945
320	1685	939
321	1688	933
322	1693	927
323	1697	922
324	1700	915
325	1704	909
326	1709	904
327	1713	898
328	1719	893
329	1723	887
330	1725	880
331	1730	875
332	1737	871
333	1740	865
334	1743	858
335	1749	853
336	1755	849
337	1761	844
338	1769	840
339	1774	835
340	1783	831
341	1789	826
342	1796	822
343	1802	817
344	1805	811
345	1810	805
346	1813	799
347	1818	794
348	1822	788
349	1827	783
350	1829	776
351	1835	771
352	1839	765
353	1844	760
354	1845	753
355	1848	747
356	1849	741
357	1853	735
358	1855	728
359	1857	722
360	1859	715
361	1861	709
362	1866	704
363	1871	699
364	1875	693
365	1880	688
366	1885	683
367	1889	677
368	1893	672
369	1899	667
370	1902	661
371	1904	655
372	1905	648
373	1907	642
374	1909	636
375	1910	630
376	1914	624
377	1918	619
378	1923	614
379	1929	609
380	1933	603
381	1937	598
382	1943	593
383	1948	588
384	1954	583
385	1959	578
386	1972	575
387	1975	570
388	1980	565
389	1984	559
390	1993	555
391	1997	550
392	2004	545
393	2009	540
394	2014	535
395	2020	530
396	2026	525
397	2030	520
398	2036	515
399	2040	510
400	2047	505
401	2051	500
402	2053	494
403	2055	488
404	2059	483
405	2062	477
406	2067	472
407	2072	467
408	2078	462
409	2083	457
410	2090	452
411	2096	447
412	2100	442
413	2112	438
414	2116	433
415	2125	429
416	2130	424
417	2139	419
418	2144	414
419	2149	409
420	2155	404
421	2157	398
422	2161	393
423	2167	388
424	2171	383
425	2173	377
426	2179	372
427	2186	367
428	2192	362
429	2197	357
430	2201	352
431	2205	347
432	2212	342
433	2218	337
434	2222	332
435	2228	327
436	2234	322
437	2238	316
438	2243	311
439	2252	307
440	2260	302
441	2271	298
442	2278	293
443	2286	288
444	2294	283
445	2299	278
446	2302	272
447	2303	267
448	2305	261
449	2307	256
450	2310	250
451	2311	245
452	2317	240
453	2319	235
454	2324	229
455	2376	229
456	2393	225
457	2405	220
458	2423	216
459	2514	218
460	2517	212
461	2519	207
462	2521	201
463	2523	195
464	2524	190
465	2526	184
466	2542	179
467	2550	174
468	2552	168
469	2554	163
470	2556	157
471	2558	151
472	2561	146
473	2564	140
474	2566	135
475	2568	129
476	2570	123
477	2572	118
478	2575	112
479	2577	107
480	2578	101
481	2580	96
482	2585	90
483	2591	85
484	2595	80
485	2600	74
486	2602	69
487	2604	64
488	2608	58
489	2612	53
490	2614	47
491	2616	42
492	2626	37
493	2631	31
494	2636	26
495	2640	21
496	2645	15
497	2651	10
498	2656	5
499	2660	0
