iter	Accuracy	Logloss
0	0.545210728	0.6920831721
1	0.538697318	0.6915812397
2	0.545210728	0.6907331511
3	0.545210728	0.6900469264
4	0.545210728	0.6895458147
5	0.545210728	0.6890861786
6	0.545210728	0.6889286229
7	0.545210728	0.6885867532
8	0.545210728	0.6883100916
9	0.545210728	0.6880862155
10	0.545210728	0.6879805668
11	0.545210728	0.6879736318
12	0.545210728	0.6878339355
13	0.545210728	0.6877752717
14	0.545210728	0.6876533428
15	0.545210728	0.6875708508
16	0.545210728	0.6875397266
17	0.545210728	0.6875054873
18	0.545210728	0.6874754441
19	0.545210728	0.6874410324
20	0.545210728	0.6874208185
21	0.545210728	0.6873802911
22	0.545210728	0.6873336052
23	0.545210728	0.6873228774
24	0.545210728	0.6872983541
25	0.545210728	0.6872913192
26	0.545210728	0.6872793766
27	0.545210728	0.6872519073
28	0.545210728	0.6872377758
29	0.545210728	0.687230638
30	0.545210728	0.687224857
31	0.545210728	0.6872170521
32	0.545210728	0.6872081009
33	0.545210728	0.6871941976
34	0.545210728	0.6871829399
35	0.545210728	0.6871789428
36	0.545210728	0.68717788
37	0.545210728	0.6871697268
38	0.545210728	0.6871671
39	0.545210728	0.6871643469
40	0.545210728	0.6871625571
41	0.545210728	0.687161385
42	0.545210728	0.6871612987
43	0.545210728	0.687159564
44	0.545210728	0.6871581591
45	0.545210728	0.6871537571
46	0.545210728	0.6871523321
47	0.545210728	0.6871522861
48	0.545210728	0.6871490009
49	0.545210728	0.6871463403
50	0.545210728	0.6871458757
51	0.545210728	0.6871456029
52	0.545210728	0.6871448582
53	0.545210728	0.6871429853
54	0.545210728	0.6871428814
55	0.545210728	0.6871427391
56	0.545210728	0.6871425372
57	0.545210728	0.6871425161
58	0.545210728	0.6871420736
59	0.545210728	0.6871420694
60	0.545210728	0.6871420623
61	0.545210728	0.6871407208
62	0.545210728	0.6871406277
63	0.545210728	0.6871395597
64	0.545210728	0.687139497
65	0.545210728	0.6871394936
66	0.545210728	0.6871394903
67	0.545210728	0.6871386383
68	0.545210728	0.6871386366
69	0.545210728	0.6871386299
70	0.545210728	0.6871386278
71	0.545210728	0.6871386254
72	0.545210728	0.6871385289
73	0.545210728	0.6871385176
74	0.545210728	0.6871384599
75	0.545210728	0.6871383519
76	0.545210728	0.6871383496
77	0.545210728	0.6871383048
78	0.545210728	0.6871376776
79	0.545210728	0.6871376765
80	0.545210728	0.6871376357
81	0.545210728	0.6871375824
82	0.545210728	0.6871375471
83	0.545210728	0.6871374034
84	0.545210728	0.687137389
85	0.545210728	0.6871370662
86	0.545210728	0.6871370662
87	0.545210728	0.6871370659
88	0.545210728	0.6871370658
89	0.545210728	0.6871369585
90	0.545210728	0.6871369367
91	0.545210728	0.6871366527
92	0.545210728	0.6871363437
93	0.545210728	0.6871362961
94	0.545210728	0.6871361593
95	0.545210728	0.6871361583
96	0.545210728	0.6871360225
97	0.545210728	0.6871360224
98	0.545210728	0.6871360217
99	0.545210728	0.6871360173
100	0.545210728	0.687135993
101	0.545210728	0.6871359906
102	0.545210728	0.6871358032
103	0.545210728	0.6871358017
104	0.545210728	0.6871358005
105	0.545210728	0.6871357993
106	0.545210728	0.6871357945
107	0.545210728	0.6871357945
108	0.545210728	0.6871357945
109	0.545210728	0.6871357942
110	0.545210728	0.6871357939
111	0.545210728	0.6871357936
112	0.545210728	0.6871357194
113	0.545210728	0.6871356362
114	0.545210728	0.6871356353
115	0.545210728	0.6871356201
116	0.545210728	0.6871355477
117	0.545210728	0.6871354581
118	0.545210728	0.6871354007
119	0.545210728	0.6871353625
120	0.545210728	0.6871353024
121	0.545210728	0.6871352476
122	0.545210728	0.6871352447
123	0.545210728	0.6871352322
124	0.545210728	0.6871352322
125	0.545210728	0.6871352322
126	0.545210728	0.6871352322
127	0.545210728	0.6871352322
128	0.545210728	0.6871352322
129	0.545210728	0.6871352322
130	0.545210728	0.6871352322
131	0.545210728	0.6871352322
132	0.545210728	0.6871352322
133	0.545210728	0.6871352322
134	0.545210728	0.6871352322
135	0.545210728	0.6871352322
136	0.545210728	0.6871352322
137	0.545210728	0.6871352322
138	0.545210728	0.6871352322
139	0.545210728	0.6871352322
140	0.545210728	0.6871352322
141	0.545210728	0.6871352322
142	0.545210728	0.6871352322
143	0.545210728	0.6871352322
144	0.545210728	0.6871352322
145	0.545210728	0.6871352322
146	0.545210728	0.6871352322
147	0.545210728	0.6871352322
148	0.545210728	0.6871352322
149	0.545210728	0.6871352322
150	0.545210728	0.6871352322
151	0.545210728	0.6871352322
152	0.545210728	0.6871352322
153	0.545210728	0.6871352322
154	0.545210728	0.6871352322
155	0.545210728	0.6871352322
156	0.545210728	0.6871352322
157	0.545210728	0.6871352322
158	0.545210728	0.6871352322
159	0.545210728	0.6871352322
160	0.545210728	0.6871352322
161	0.545210728	0.6871352322
162	0.545210728	0.6871352322
163	0.545210728	0.6871352322
164	0.545210728	0.6871352322
165	0.545210728	0.6871352322
166	0.545210728	0.6871352322
167	0.545210728	0.6871352322
168	0.545210728	0.6871352322
169	0.545210728	0.6871352322
170	0.545210728	0.6871352322
171	0.545210728	0.6871352322
172	0.545210728	0.6871352322
173	0.545210728	0.6871352322
174	0.545210728	0.6871352322
175	0.545210728	0.6871352322
176	0.545210728	0.6871352322
177	0.545210728	0.6871352322
178	0.545210728	0.6871352322
179	0.545210728	0.6871352322
180	0.545210728	0.6871352322
181	0.545210728	0.6871352322
182	0.545210728	0.6871352322
183	0.545210728	0.6871352322
184	0.545210728	0.6871352322
185	0.545210728	0.6871352322
186	0.545210728	0.6871352322
187	0.545210728	0.6871352322
188	0.545210728	0.6871352322
189	0.545210728	0.6871352322
190	0.545210728	0.6871352322
191	0.545210728	0.6871352322
192	0.545210728	0.6871352322
193	0.545210728	0.6871352322
194	0.545210728	0.6871352322
195	0.545210728	0.6871352322
196	0.545210728	0.6871352322
197	0.545210728	0.6871352322
198	0.545210728	0.6871352322
199	0.545210728	0.6871352322
200	0.545210728	0.6871352322
201	0.545210728	0.6871352322
202	0.545210728	0.6871352322
203	0.545210728	0.6871352322
204	0.545210728	0.6871352322
205	0.545210728	0.6871352322
206	0.545210728	0.6871352322
207	0.545210728	0.6871352322
208	0.545210728	0.6871352322
209	0.545210728	0.6871352322
210	0.545210728	0.6871352322
211	0.545210728	0.6871352322
212	0.545210728	0.6871352322
213	0.545210728	0.6871352322
214	0.545210728	0.6871352322
215	0.545210728	0.6871352322
216	0.545210728	0.6871352322
217	0.545210728	0.6871352322
218	0.545210728	0.6871352322
219	0.545210728	0.6871352322
220	0.545210728	0.6871352322
221	0.545210728	0.6871352322
222	0.545210728	0.6871352322
223	0.545210728	0.6871352322
224	0.545210728	0.6871352322
225	0.545210728	0.6871352322
226	0.545210728	0.6871352322
227	0.545210728	0.6871352322
228	0.545210728	0.6871352322
229	0.545210728	0.6871352322
230	0.545210728	0.6871352322
231	0.545210728	0.6871352322
232	0.545210728	0.6871352322
233	0.545210728	0.6871352322
234	0.545210728	0.6871352322
235	0.545210728	0.6871352322
236	0.545210728	0.6871352322
237	0.545210728	0.6871352322
238	0.545210728	0.6871352322
239	0.545210728	0.6871352322
240	0.545210728	0.6871352322
241	0.545210728	0.6871352322
242	0.545210728	0.6871352322
243	0.545210728	0.6871352322
244	0.545210728	0.6871352322
245	0.545210728	0.6871352322
246	0.545210728	0.6871352322
247	0.545210728	0.6871352322
248	0.545210728	0.6871352322
249	0.545210728	0.6871352322
250	0.545210728	0.6871352322
251	0.545210728	0.6871352322
252	0.545210728	0.6871352322
253	0.545210728	0.6871352322
254	0.545210728	0.6871352322
255	0.545210728	0.6871352322
256	0.545210728	0.6871352322
257	0.545210728	0.6871352322
258	0.545210728	0.6871352322
259	0.545210728	0.6871352322
260	0.545210728	0.6871352322
261	0.545210728	0.6871352322
262	0.545210728	0.6871352322
263	0.545210728	0.6871352322
264	0.545210728	0.6871352322
265	0.545210728	0.6871352322
266	0.545210728	0.6871352322
267	0.545210728	0.6871352322
268	0.545210728	0.6871352322
269	0.545210728	0.6871352322
270	0.545210728	0.6871352322
271	0.545210728	0.6871352322
272	0.545210728	0.6871352322
273	0.545210728	0.6871352322
274	0.545210728	0.6871352322
275	0.545210728	0.6871352322
276	0.545210728	0.6871352322
277	0.545210728	0.6871352322
278	0.545210728	0.6871352322
279	0.545210728	0.6871352322
280	0.545210728	0.6871352322
281	0.545210728	0.6871352322
282	0.545210728	0.6871352322
283	0.545210728	0.6871352322
284	0.545210728	0.6871352322
285	0.545210728	0.6871352322
286	0.545210728	0.6871352322
287	0.545210728	0.6871352322
288	0.545210728	0.6871352322
289	0.545210728	0.6871352322
290	0.545210728	0.6871352322
291	0.545210728	0.6871352322
292	0.545210728	0.6871352322
293	0.545210728	0.6871352322
294	0.545210728	0.6871352322
295	0.545210728	0.6871352322
296	0.545210728	0.6871352322
297	0.545210728	0.6871352322
298	0.545210728	0.6871352322
299	0.545210728	0.6871352322
300	0.545210728	0.6871352322
301	0.545210728	0.6871352322
302	0.545210728	0.6871352322
303	0.545210728	0.6871352322
304	0.545210728	0.6871352322
305	0.545210728	0.6871352322
306	0.545210728	0.6871352322
307	0.545210728	0.6871352322
308	0.545210728	0.6871352322
309	0.545210728	0.6871352322
310	0.545210728	0.6871352322
311	0.545210728	0.6871352322
312	0.545210728	0.6871352322
313	0.545210728	0.6871352322
314	0.545210728	0.6871352322
315	0.545210728	0.6871352322
316	0.545210728	0.6871352322
317	0.545210728	0.6871352322
318	0.545210728	0.6871352322
319	0.545210728	0.6871352322
320	0.545210728	0.6871352322
321	0.545210728	0.6871352322
322	0.545210728	0.6871352322
323	0.545210728	0.6871352322
324	0.545210728	0.6871352322
325	0.545210728	0.6871352322
326	0.545210728	0.6871352322
327	0.545210728	0.6871352322
328	0.545210728	0.6871352322
329	0.545210728	0.6871352322
330	0.545210728	0.6871352322
331	0.545210728	0.6871352322
332	0.545210728	0.6871352322
333	0.545210728	0.6871352322
334	0.545210728	0.6871352322
335	0.545210728	0.6871352322
336	0.545210728	0.6871352322
337	0.545210728	0.6871352322
338	0.545210728	0.6871352322
339	0.545210728	0.6871352322
340	0.545210728	0.6871352322
341	0.545210728	0.6871352322
342	0.545210728	0.6871352322
343	0.545210728	0.6871352322
344	0.545210728	0.6871352322
345	0.545210728	0.6871352322
346	0.545210728	0.6871352322
347	0.545210728	0.6871352322
348	0.545210728	0.6871352322
349	0.545210728	0.6871352322
350	0.545210728	0.6871352322
351	0.545210728	0.6871352322
352	0.545210728	0.6871352322
353	0.545210728	0.6871352322
354	0.545210728	0.6871352322
355	0.545210728	0.6871352322
356	0.545210728	0.6871352322
357	0.545210728	0.6871352322
358	0.545210728	0.6871352322
359	0.545210728	0.6871352322
360	0.545210728	0.6871352322
361	0.545210728	0.6871352322
362	0.545210728	0.6871352322
363	0.545210728	0.6871352322
364	0.545210728	0.6871352322
365	0.545210728	0.6871352322
366	0.545210728	0.6871352322
367	0.545210728	0.6871352322
368	0.545210728	0.6871352322
369	0.545210728	0.6871352322
370	0.545210728	0.6871352322
371	0.545210728	0.6871352322
372	0.545210728	0.6871352322
373	0.545210728	0.6871352322
374	0.545210728	0.6871352322
375	0.545210728	0.6871352322
376	0.545210728	0.6871352322
377	0.545210728	0.6871352322
378	0.545210728	0.6871352322
379	0.545210728	0.6871352322
380	0.545210728	0.6871352322
381	0.545210728	0.6871352322
382	0.545210728	0.6871352322
383	0.545210728	0.6871352322
384	0.545210728	0.6871352322
