iter	Accuracy	Logloss
0	0.5316673847	0.6924227486
1	0.5316673847	0.6918364345
2	0.5299439897	0.6915955495
3	0.5316673847	0.6911669427
4	0.5316673847	0.6909846131
5	0.5316673847	0.6907525475
6	0.5316673847	0.6906135502
7	0.5316673847	0.6903721784
8	0.5316673847	0.6902894791
9	0.5316673847	0.6901724884
10	0.5316673847	0.6900777606
11	0.5316673847	0.6900722271
12	0.5316673847	0.689986227
13	0.5316673847	0.6898644215
14	0.5316673847	0.6898080562
15	0.5316673847	0.6897672294
16	0.5316673847	0.6897218139
17	0.5316673847	0.6896503845
18	0.5316673847	0.6895925598
19	0.5316673847	0.6895741308
20	0.5316673847	0.6895497385
21	0.5316673847	0.6895273814
22	0.5316673847	0.6894929759
23	0.5316673847	0.6894651195
24	0.5316673847	0.6894532463
25	0.5316673847	0.6894499869
26	0.5316673847	0.689442061
27	0.5316673847	0.6894328937
28	0.5316673847	0.6894164711
29	0.5316673847	0.6894122611
30	0.5316673847	0.6894053371
31	0.5316673847	0.6894039404
32	0.5316673847	0.6893930441
33	0.5316673847	0.6893929915
34	0.5316673847	0.6893889258
35	0.5316673847	0.6893889049
36	0.5316673847	0.6893856749
37	0.5316673847	0.6893828084
38	0.5316673847	0.6893759135
39	0.5316673847	0.6893703297
40	0.5316673847	0.6893688393
41	0.5316673847	0.6893646006
42	0.5316673847	0.6893635144
43	0.5316673847	0.6893602882
44	0.5316673847	0.6893600256
45	0.5316673847	0.6893582936
46	0.5316673847	0.6893568909
47	0.5316673847	0.6893563301
48	0.5316673847	0.6893557344
49	0.5316673847	0.6893552518
50	0.5316673847	0.6893535963
51	0.5316673847	0.689353311
52	0.5316673847	0.6893533055
53	0.5316673847	0.6893533055
54	0.5316673847	0.6893523141
55	0.5316673847	0.6893516373
56	0.5316673847	0.68935158
57	0.5316673847	0.689351488
58	0.5316673847	0.6893505479
59	0.5316673847	0.689350487
60	0.5316673847	0.6893504827
61	0.5316673847	0.6893504622
62	0.5316673847	0.6893497171
63	0.5316673847	0.6893494126
64	0.5316673847	0.689349404
65	0.5316673847	0.6893494036
66	0.5316673847	0.6893493994
67	0.5316673847	0.6893493994
68	0.5316673847	0.6893493994
69	0.5316673847	0.6893493816
70	0.5316673847	0.6893493804
71	0.5316673847	0.6893488458
72	0.5316673847	0.6893486957
73	0.5316673847	0.6893484001
74	0.5316673847	0.6893483993
75	0.5316673847	0.6893482766
76	0.5316673847	0.6893482765
77	0.5316673847	0.689348217
78	0.5316673847	0.689348207
79	0.5316673847	0.6893482059
80	0.5316673847	0.6893479959
81	0.5316673847	0.6893478158
