iter	Passed	Remaining
0	2	1043
1	4	1086
2	6	1023
3	8	1041
4	11	1159
5	13	1121
6	15	1087
7	17	1064
8	19	1037
9	20	1028
10	23	1024
11	25	1022
12	29	1123
13	34	1187
14	39	1281
15	43	1321
16	47	1360
17	54	1451
18	59	1496
19	61	1478
20	65	1502
21	73	1604
22	78	1635
23	84	1673
24	90	1719
25	94	1730
26	99	1750
27	105	1773
28	109	1777
29	114	1793
30	121	1843
31	129	1894
32	146	2076
33	151	2074
34	157	2089
35	160	2064
36	162	2031
37	164	1999
38	166	1968
39	175	2020
40	180	2024
41	250	2729
42	253	2689
43	255	2644
44	256	2598
45	258	2555
46	260	2514
47	262	2475
48	265	2445
49	267	2408
50	269	2373
51	271	2338
52	273	2304
53	276	2284
54	282	2285
55	287	2277
56	291	2264
57	296	2259
58	301	2255
59	305	2241
60	313	2257
61	317	2239
62	318	2212
63	320	2185
64	322	2159
65	325	2142
66	330	2137
67	334	2124
68	338	2114
69	343	2107
70	347	2096
71	351	2091
72	356	2085
73	361	2081
74	364	2067
75	368	2057
76	373	2051
77	377	2042
78	380	2030
79	384	2017
80	391	2026
81	396	2022
82	403	2028
83	407	2019
84	412	2012
85	418	2016
86	423	2012
87	427	2002
88	433	2001
89	437	1993
90	441	1982
91	445	1976
92	448	1963
93	452	1953
94	457	1948
95	462	1946
96	468	1945
97	472	1938
98	477	1933
99	481	1925
100	485	1919
101	489	1909
102	493	1902
103	497	1894
104	501	1885
105	506	1881
106	509	1873
107	513	1863
108	517	1858
109	523	1856
110	527	1847
111	531	1840
112	536	1838
113	543	1838
114	557	1866
115	568	1883
116	577	1890
117	584	1890
118	588	1884
119	592	1877
120	598	1874
121	601	1862
122	605	1854
123	609	1848
124	613	1841
125	618	1834
126	622	1827
127	624	1814
128	626	1801
129	631	1796
130	632	1782
131	634	1769
132	636	1756
133	638	1743
134	640	1733
135	645	1727
136	650	1722
137	654	1716
138	657	1708
139	660	1699
140	665	1693
141	669	1688
142	676	1688
143	678	1678
144	682	1670
145	684	1658
146	686	1649
147	688	1638
148	691	1628
149	693	1617
150	694	1606
151	696	1595
152	698	1584
153	701	1576
154	708	1576
155	712	1571
156	717	1568
157	720	1559
158	722	1550
159	726	1544
160	731	1541
161	736	1535
162	740	1531
163	745	1527
164	749	1522
165	754	1517
166	759	1514
167	761	1505
168	763	1495
169	765	1486
170	767	1477
171	769	1468
172	771	1458
173	774	1451
174	779	1447
175	782	1440
176	791	1443
177	792	1434
178	794	1425
179	796	1416
180	800	1411
181	805	1407
182	809	1402
183	813	1397
184	819	1395
185	821	1386
186	823	1377
187	825	1370
188	830	1366
189	832	1358
190	837	1354
191	841	1350
192	846	1345
193	851	1343
194	856	1339
195	860	1334
196	865	1331
197	869	1326
198	874	1322
199	881	1322
200	887	1320
201	894	1319
202	899	1315
203	903	1311
204	910	1309
205	915	1306
206	920	1303
207	927	1301
208	932	1298
209	937	1294
210	943	1291
211	948	1288
212	952	1283
213	956	1278
