iter	Passed	Remaining
470	1739	107
471	1743	103
472	1747	99
473	1750	96
474	1756	92
475	1759	88
476	1763	85
477	1768	81
478	1772	77
479	1773	73
480	1774	70
481	1776	66
482	1777	62
483	1778	58
484	1779	55
485	1781	51
486	1782	47
487	1783	43
488	1784	40
489	1787	36
490	1788	32
491	1789	29
492	1790	25
493	1793	21
494	1794	18
495	1796	14
496	1797	10
497	1798	7
498	1801	3
499	1805	0
