iter	Accuracy	Logloss
0	0.5469827586	0.6919642865
1	0.5469827586	0.691006947
2	0.5469827586	0.6902849002
3	0.5469827586	0.6896478281
4	0.5469827586	0.6891749043
5	0.5469827586	0.6887495003
6	0.5469827586	0.6884052321
7	0.5469827586	0.6881265816
8	0.5469827586	0.6879010348
9	0.5469827586	0.6877367752
10	0.5469827586	0.6876670119
11	0.5469827586	0.6875290102
12	0.5469827586	0.6874841201
13	0.5469827586	0.6873957787
14	0.5469827586	0.6873094323
15	0.5469827586	0.6872395254
16	0.5469827586	0.6872311827
17	0.5469827586	0.6872120586
18	0.5469827586	0.6871688857
19	0.5469827586	0.6871563453
20	0.5469827586	0.6871237734
21	0.5469827586	0.6871081507
22	0.5469827586	0.6870765527
23	0.5469827586	0.6870663069
24	0.5469827586	0.6870426698
25	0.5469827586	0.6870327513
26	0.5469827586	0.687015497
27	0.5469827586	0.6870126689
28	0.5469827586	0.686999234
29	0.5469827586	0.6869883545
30	0.5469827586	0.6869830883
31	0.5469827586	0.686979445
32	0.5469827586	0.6869784595
33	0.5469827586	0.6869765793
34	0.5469827586	0.6869741723
35	0.5469827586	0.6869729388
36	0.5469827586	0.6869729307
37	0.5469827586	0.6869670524
38	0.5469827586	0.6869622915
39	0.5469827586	0.6869611676
40	0.5469827586	0.6869611676
41	0.5469827586	0.6869575318
42	0.5469827586	0.686954586
43	0.5469827586	0.6869521948
44	0.5469827586	0.68695026
45	0.5469827586	0.6869494178
46	0.5469827586	0.6869485507
47	0.5469827586	0.6869473067
48	0.5469827586	0.6869473055
49	0.5469827586	0.6869473055
50	0.5469827586	0.6869469846
51	0.5469827586	0.6869466344
52	0.5469827586	0.6869457553
53	0.5469827586	0.6869455184
54	0.5469827586	0.6869454348
55	0.5469827586	0.6869453174
56	0.5469827586	0.6869452977
57	0.5469827586	0.6869452658
58	0.5469827586	0.6869452658
59	0.5469827586	0.6869452658
60	0.5469827586	0.6869452641
61	0.5469827586	0.686944958
62	0.5469827586	0.686944958
63	0.5469827586	0.6869449501
64	0.5469827586	0.6869448251
65	0.5469827586	0.6869447782
66	0.5469827586	0.6869442512
67	0.5469827586	0.6869442033
68	0.5469827586	0.6869437855
69	0.5469827586	0.686943569
70	0.5469827586	0.6869435687
71	0.5469827586	0.6869434115
72	0.5469827586	0.6869432405
73	0.5469827586	0.6869431928
74	0.5469827586	0.6869431417
75	0.5469827586	0.6869431281
76	0.5469827586	0.6869431169
